intent,blueprint_id,language,n,MSC,EAP,SAS,MSC_diag,MSC_corr,GPC0,GPC1,SD,BRS,IRA,RA
BEAM_MISALIGNMENT,BEAM_INDOOR_GRID,ar,30,0.4889,1.0000,0.4889,1.0000,0.2333,0.2333,0.2333,0.3701,0.3126,0.1414,0.5122
BEAM_MISALIGNMENT,BEAM_INDOOR_GRID,en,30,0.6333,1.0000,0.6333,1.0000,0.4500,0.4333,0.4667,0.5517,0.4463,0.1879,0.5680
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,ar,30,0.4000,1.0000,0.4000,1.0000,0.1000,0.1000,0.1000,0.3920,0.2016,0.1716,0.5210
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,en,30,0.3778,1.0000,0.3778,1.0000,0.0667,0.0667,0.0667,0.5728,0.1388,0.2148,0.5624
BLER_ANOMALY,BLER_COVERAGE_EDGE,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1215,0.5551
BLER_ANOMALY,BLER_COVERAGE_EDGE,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1084,0.5723
BLER_ANOMALY,BLER_INTERFERENCE_BURST,ar,30,0.8889,1.0000,0.8889,0.8333,1.0000,0.8333,0.8333,0.1916,0.8284,0.1404,0.5487
BLER_ANOMALY,BLER_INTERFERENCE_BURST,en,30,0.8222,1.0000,0.8222,0.7333,1.0000,0.7333,0.7333,0.2697,0.7327,0.1458,0.5706
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,ar,30,0.8000,0.9111,0.7111,1.0000,0.6000,0.3333,1.0000,0.3464,0.5974,0.1789,0.4771
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,en,30,0.7667,0.8556,0.6222,1.0000,0.5333,0.1000,1.0000,0.3571,0.4786,0.1606,0.5894
CELL_OUTAGE_DETECTION,OUTAGE_SUDDEN_ALARM,ar,30,0.6500,1.0000,0.6500,1.0000,0.3000,0.3000,1.0000,0.2172,0.6066,0.2457,0.4572
CELL_OUTAGE_DETECTION,OUTAGE_SUDDEN_ALARM,en,30,0.5333,0.9889,0.5222,1.0000,0.0667,0.0333,1.0000,0.0759,0.5015,0.2635,0.6112
CONFIG_MISMATCH,CFG_MISMATCH_PARAM_DRIFT,ar,30,0.8111,0.9833,0.7944,0.9667,0.7333,0.6000,0.7667,0.3441,0.6612,0.2727,0.5216
CONFIG_MISMATCH,CFG_MISMATCH_PARAM_DRIFT,en,30,0.8556,0.8667,0.7222,0.9667,0.8000,0.2333,0.8000,0.3517,0.4863,0.4274,0.5807
CONFIG_MISMATCH,CFG_MISMATCH_POST_MAINT,ar,30,0.5667,0.9500,0.5167,0.8667,0.4167,0.1333,0.3667,0.5510,0.2665,0.2375,0.5132
CONFIG_MISMATCH,CFG_MISMATCH_POST_MAINT,en,30,0.9778,0.7750,0.7528,1.0000,0.9667,0.0333,1.0000,0.0791,0.5008,0.3887,0.5649
COVERAGE_HOLE,COV_HOLE_DOWNTOWN,ar,30,0.5000,1.0000,0.5000,0.5000,0.5000,0.4333,0.5333,0.5494,0.4668,0.2531,0.4747
COVERAGE_HOLE,COV_HOLE_DOWNTOWN,en,30,0.9000,1.0000,0.9000,0.9333,0.8333,0.8000,0.9000,0.1839,0.8332,0.2429,0.6120
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3400,0.5391
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2638,0.6311
COVERAGE_HOLE,COV_HOLE_SUBURBAN_INDOOR,ar,30,0.7667,1.0000,0.7667,0.7667,0.7667,0.7667,0.7667,0.3701,0.7393,0.2504,0.5074
COVERAGE_HOLE,COV_HOLE_SUBURBAN_INDOOR,en,30,0.9778,1.0000,0.9778,0.9667,1.0000,0.9333,1.0000,0.0429,0.9581,0.2177,0.6390
DEGRADED_BACKHAUL,BACKHAUL_CONGESTION_PEAK,ar,30,0.9667,1.0000,0.9667,1.0000,0.9500,0.9000,1.0000,0.0621,0.9376,0.1461,0.5757
DEGRADED_BACKHAUL,BACKHAUL_CONGESTION_PEAK,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1782,0.6061
DEGRADED_BACKHAUL,BACKHAUL_LINK_FLAP,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1041,0.5526
DEGRADED_BACKHAUL,BACKHAUL_LINK_FLAP,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2162,0.5688
HIGH_PRB_UTILIZATION,HIGH_PRB_INDOOR_MALL,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2666,0.5663
HIGH_PRB_UTILIZATION,HIGH_PRB_INDOOR_MALL,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3014,0.6237
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,ar,30,0.9889,1.0000,0.9889,1.0000,0.9833,0.9667,1.0000,0.0222,0.9789,0.3125,0.5469
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.4099,0.6149
HIGH_PRB_UTILIZATION,HIGH_PRB_STADIUM_EVENT,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2620,0.5768
HIGH_PRB_UTILIZATION,HIGH_PRB_STADIUM_EVENT,en,30,0.9778,1.0000,0.9778,1.0000,0.9667,0.9333,0.9333,0.0858,0.9295,0.3546,0.6181
HIGH_PRB_UTILIZATION,HIGH_PRB_SUBURBAN_OFFPEAK,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3382,0.5569
HIGH_PRB_UTILIZATION,HIGH_PRB_SUBURBAN_OFFPEAK,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.4132,0.6190
HIGH_PRB_UTILIZATION,HIGH_PRB_URBAN_PEAK,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3399,0.5594
HIGH_PRB_UTILIZATION,HIGH_PRB_URBAN_PEAK,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.4577,0.6222
HO_FAILURE_HOTSPOT,HO_FAIL_DOWNTOWN_SPOT,ar,30,1.0000,0.6667,0.6667,1.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.3210,0.4753
HO_FAILURE_HOTSPOT,HO_FAIL_DOWNTOWN_SPOT,en,30,1.0000,0.6667,0.6667,1.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.4614,0.5867
HO_FAILURE_HOTSPOT,HO_FAIL_INDOOR_EDGE,ar,30,1.0000,0.6667,0.6667,1.0000,1.0000,0.0000,1.0000,0.0444,0.4911,0.3342,0.5081
HO_FAILURE_HOTSPOT,HO_FAIL_INDOOR_EDGE,en,30,1.0000,0.6667,0.6667,1.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.4263,0.5779
HQOS_LATENCY_VIOLATION,LATENCY_SLA_NOLOAD_HINT_BLER,ar,30,0.9444,0.9917,0.9389,0.9167,1.0000,0.9000,0.9000,0.1328,0.8934,0.1803,0.5321
HQOS_LATENCY_VIOLATION,LATENCY_SLA_NOLOAD_HINT_BLER,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2519,0.5871
HQOS_LATENCY_VIOLATION,LATENCY_SLA_PEAK_LOAD,ar,30,0.6000,1.0000,0.6000,0.4000,1.0000,0.4000,0.4000,0.3310,0.4538,0.1739,0.4719
HQOS_LATENCY_VIOLATION,LATENCY_SLA_PEAK_LOAD,en,30,0.6667,1.0000,0.6667,0.5000,1.0000,0.5000,0.5000,0.3448,0.5310,0.3104,0.5686
