intent,blueprint_id,language,n,MSC,EAP,SAS,MSC_diag,MSC_corr,GPC0,GPC1,SD,BRS,IRA,RA
BEAM_MISALIGNMENT,BEAM_INDOOR_GRID,ar,30,0.7000,1.0000,0.7000,1.0000,0.5500,0.1000,0.2333,0.1854,0.2829,0.1435,0.2541
BEAM_MISALIGNMENT,BEAM_INDOOR_GRID,en,30,0.7333,1.0000,0.7333,0.9667,0.6167,0.2333,0.7667,0.3533,0.4760,0.1748,0.4121
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,ar,30,0.6889,1.0000,0.6889,1.0000,0.5333,0.0667,0.2333,0.2421,0.2549,0.1719,0.2446
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,en,30,0.6889,1.0000,0.6889,1.0000,0.5333,0.0667,0.5333,0.3747,0.3184,0.2295,0.4009
BLER_ANOMALY,BLER_COVERAGE_EDGE,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1239,0.5674
BLER_ANOMALY,BLER_COVERAGE_EDGE,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1349,0.6090
BLER_ANOMALY,BLER_INTERFERENCE_BURST,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1436,0.5651
BLER_ANOMALY,BLER_INTERFERENCE_BURST,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1414,0.6070
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,ar,30,0.7167,1.0000,0.7167,0.4333,1.0000,0.4333,1.0000,0.2540,0.6659,0.2036,0.2344
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,en,30,0.7667,1.0000,0.7667,0.5333,1.0000,0.5333,1.0000,0.2575,0.7152,0.1995,0.3715
CELL_OUTAGE_DETECTION,OUTAGE_SUDDEN_ALARM,ar,30,0.8500,1.0000,0.8500,0.7000,1.0000,0.7000,1.0000,0.2172,0.8066,0.2623,0.2418
CELL_OUTAGE_DETECTION,OUTAGE_SUDDEN_ALARM,en,30,0.9833,1.0000,0.9833,0.9667,1.0000,0.9667,1.0000,0.0333,0.9767,0.2912,0.3568
CONFIG_MISMATCH,CFG_MISMATCH_PARAM_DRIFT,ar,30,0.8556,1.0000,0.8556,0.9667,0.8000,0.6000,0.9667,0.2192,0.7462,0.3028,0.4121
CONFIG_MISMATCH,CFG_MISMATCH_PARAM_DRIFT,en,30,0.7333,0.9833,0.7222,0.9667,0.6167,0.2333,0.9000,0.2433,0.5380,0.4406,0.4581
CONFIG_MISMATCH,CFG_MISMATCH_POST_MAINT,ar,30,0.6889,0.9917,0.6833,0.9333,0.5667,0.1333,0.9000,0.2858,0.4795,0.2932,0.2810
CONFIG_MISMATCH,CFG_MISMATCH_POST_MAINT,en,30,0.6556,1.0000,0.6556,0.9667,0.5000,0.0000,0.9667,0.0333,0.4833,0.4279,0.4374
COVERAGE_HOLE,COV_HOLE_DOWNTOWN,ar,30,0.5111,1.0000,0.5111,0.2667,1.0000,0.0667,0.4667,0.2881,0.3157,0.2802,0.2324
COVERAGE_HOLE,COV_HOLE_DOWNTOWN,en,30,0.7333,1.0000,0.7333,0.6000,1.0000,0.2333,0.9667,0.1540,0.5759,0.2608,0.4101
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,ar,30,0.7222,1.0000,0.7222,0.5833,1.0000,0.1667,1.0000,0.0958,0.5642,0.3519,0.2663
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,en,30,0.7556,1.0000,0.7556,0.6333,1.0000,0.2667,1.0000,0.1349,0.6064,0.2826,0.4436
COVERAGE_HOLE,COV_HOLE_SUBURBAN_INDOOR,ar,30,0.6889,1.0000,0.6889,0.5333,1.0000,0.3000,0.7667,0.3057,0.5189,0.2608,0.2673
COVERAGE_HOLE,COV_HOLE_SUBURBAN_INDOOR,en,30,0.7111,1.0000,0.7111,0.5667,1.0000,0.2000,0.9333,0.1701,0.5460,0.2457,0.4343
DEGRADED_BACKHAUL,BACKHAUL_CONGESTION_PEAK,ar,30,0.9333,1.0000,0.9333,0.9000,0.9500,0.9000,0.9000,0.1241,0.8952,0.2013,0.5328
DEGRADED_BACKHAUL,BACKHAUL_CONGESTION_PEAK,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2384,0.6186
DEGRADED_BACKHAUL,BACKHAUL_LINK_FLAP,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1590,0.5209
DEGRADED_BACKHAUL,BACKHAUL_LINK_FLAP,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2524,0.5844
HIGH_PRB_UTILIZATION,HIGH_PRB_INDOOR_MALL,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2982,0.5637
HIGH_PRB_UTILIZATION,HIGH_PRB_INDOOR_MALL,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3029,0.6371
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,ar,30,0.9778,1.0000,0.9778,0.9667,0.9833,0.9667,0.9667,0.0444,0.9644,0.3060,0.5305
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,en,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3839,0.6353
HIGH_PRB_UTILIZATION,HIGH_PRB_STADIUM_EVENT,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2852,0.5830
HIGH_PRB_UTILIZATION,HIGH_PRB_STADIUM_EVENT,en,30,0.9778,1.0000,0.9778,1.0000,0.9667,0.9333,1.0000,0.0429,0.9581,0.3546,0.6320
HIGH_PRB_UTILIZATION,HIGH_PRB_SUBURBAN_OFFPEAK,ar,30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3434,0.5507
