intent,blueprint_id,language,n,MSC,EAP,SAS,MSC_diag,MSC_corr,GPC0,GPC1,SD,BRS,IRA,RA
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,ar,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,1.0000,0.0000,0.5000,0.1589,0.1615
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,en,1,0.3333,1.0000,0.3333,0.0000,0.5000,0.0000,0.0000,0.0000,0.2000,0.3352,0.3761
BLER_ANOMALY,BLER_COVERAGE_EDGE,ar,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1366,0.5702
BLER_ANOMALY,BLER_COVERAGE_EDGE,en,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1529,0.6519
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,ar,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3090,0.1338
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,en,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2976,0.2970
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,ar,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,0.0000,0.0000,0.2000,0.3708,0.1731
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,en,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,0.0000,0.0000,0.2000,0.2934,0.4131
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,ar,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3138,0.4353
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,en,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.4110,0.6842
HIGH_PRB_UTILIZATION,HIGH_PRB_URBAN_PEAK,ar,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3762,0.4765
HIGH_PRB_UTILIZATION,HIGH_PRB_URBAN_PEAK,en,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.4928,0.6631
HO_FAILURE_HOTSPOT,HO_FAIL_INDOOR_EDGE,ar,1,1.0000,0.6667,0.6667,1.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.1492,0.5542
HO_FAILURE_HOTSPOT,HO_FAIL_INDOOR_EDGE,en,1,1.0000,0.6667,0.6667,1.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.2167,0.5345
HQOS_LATENCY_VIOLATION,LATENCY_SLA_PEAK_LOAD,ar,1,0.6667,0.6000,0.4000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1621,0.1849
HQOS_LATENCY_VIOLATION,LATENCY_SLA_PEAK_LOAD,en,1,0.6667,0.6000,0.4000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2667,0.3203
LOAD_BALANCING_NEEDED,LB_RURAL_SINGLE_HOT,ar,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3706,0.5382
LOAD_BALANCING_NEEDED,LB_RURAL_SINGLE_HOT,en,1,0.5000,0.6667,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.4015,0.3084
OVERSHOOTING_CELL,OVERSHOOT_URBAN_FOOTPRINT,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3298,0.1832
OVERSHOOTING_CELL,OVERSHOOT_URBAN_FOOTPRINT,en,1,1.0000,0.7500,0.7500,1.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.3636,0.7227
PCI_COLLISION,PCI_COLLISION_DENSE,ar,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,1.0000,0.0000,0.5000,0.2475,0.1383
PCI_COLLISION,PCI_COLLISION_DENSE,en,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,1.0000,0.0000,0.5000,0.1513,0.3780
SLICE_ADMISSION_FAILURE,SLICE_ADM_URLLC_POLICY,ar,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,1.0000,0.0000,0.5000,0.3896,0.1427
SLICE_ADMISSION_FAILURE,SLICE_ADM_URLLC_POLICY,en,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,1.0000,0.0000,0.5000,0.3616,0.3328
THROUGHPUT_DROP_DL,DL_DROP_EVENT_TRANSIENT,ar,1,0.6667,0.6000,0.4000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1446,0.1737
THROUGHPUT_DROP_DL,DL_DROP_EVENT_TRANSIENT,en,1,0.6667,0.6000,0.4000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1973,0.3746
THROUGHPUT_DROP_DL,DL_DROP_INDOOR_CAP,ar,1,0.6667,0.7500,0.5000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0933,0.1270
THROUGHPUT_DROP_DL,DL_DROP_INDOOR_CAP,en,1,0.6667,0.7500,0.5000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0792,0.2957
