intent,blueprint_id,language,n,MSC,EAP,SAS,MSC_diag,MSC_corr,GPC0,GPC1,SD,BRS,IRA,RA
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,ar,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,0.0000,0.0000,0.2000,0.1741,0.2106
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,en,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,1.0000,0.0000,0.5000,0.3473,0.3744
BLER_ANOMALY,BLER_COVERAGE_EDGE,ar,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1500,0.6473
BLER_ANOMALY,BLER_COVERAGE_EDGE,en,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1523,0.6502
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,ar,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2545,0.2018
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,en,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3874,0.2961
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,ar,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,1.0000,0.0000,0.5000,0.3199,0.2490
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,en,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,1.0000,0.0000,0.5000,0.2724,0.3633
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,ar,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3109,0.5423
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,en,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.4585,0.5998
HIGH_PRB_UTILIZATION,HIGH_PRB_URBAN_PEAK,ar,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.3119,0.5596
HIGH_PRB_UTILIZATION,HIGH_PRB_URBAN_PEAK,en,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.5003,0.5766
HO_FAILURE_HOTSPOT,HO_FAIL_INDOOR_EDGE,ar,1,1.0000,0.6667,0.6667,1.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.2314,0.4600
HO_FAILURE_HOTSPOT,HO_FAIL_INDOOR_EDGE,en,1,1.0000,0.6667,0.6667,1.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.2664,0.5515
HQOS_LATENCY_VIOLATION,LATENCY_SLA_PEAK_LOAD,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1399,0.2637
HQOS_LATENCY_VIOLATION,LATENCY_SLA_PEAK_LOAD,en,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3641,0.3797
LOAD_BALANCING_NEEDED,LB_RURAL_SINGLE_HOT,ar,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.4356,0.6232
LOAD_BALANCING_NEEDED,LB_RURAL_SINGLE_HOT,en,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.4009,0.6342
OVERSHOOTING_CELL,OVERSHOOT_URBAN_FOOTPRINT,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3920,0.2515
OVERSHOOTING_CELL,OVERSHOOT_URBAN_FOOTPRINT,en,1,1.0000,0.7500,0.7500,1.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.3376,0.6477
PCI_COLLISION,PCI_COLLISION_DENSE,ar,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,0.0000,0.0000,0.2000,0.1413,0.2495
PCI_COLLISION,PCI_COLLISION_DENSE,en,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,0.0000,0.0000,0.2000,0.2353,0.3322
SLICE_ADMISSION_FAILURE,SLICE_ADM_URLLC_POLICY,ar,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,1.0000,0.0000,0.5000,0.4508,0.2229
SLICE_ADMISSION_FAILURE,SLICE_ADM_URLLC_POLICY,en,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.4641,0.7089
THROUGHPUT_DROP_DL,DL_DROP_EVENT_TRANSIENT,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2967,0.2565
THROUGHPUT_DROP_DL,DL_DROP_EVENT_TRANSIENT,en,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0787,0.4351
THROUGHPUT_DROP_DL,DL_DROP_INDOOR_CAP,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1194,0.2866
THROUGHPUT_DROP_DL,DL_DROP_INDOOR_CAP,en,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0253,0.3470
