intent,blueprint_id,language,n,MSC,EAP,SAS,MSC_diag,MSC_corr,GPC0,GPC1,SD,BRS,IRA,RA
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,ar,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,0.0000,0.0000,0.2000,0.2038,0.5603
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,en,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,0.0000,0.0000,0.2000,0.3422,0.6985
BLER_ANOMALY,BLER_COVERAGE_EDGE,ar,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,1.0000,0.0000,0.5000,0.1303,0.5219
BLER_ANOMALY,BLER_COVERAGE_EDGE,en,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,1.0000,0.0000,0.5000,0.1169,0.6287
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,ar,1,0.5000,0.6667,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3339,0.3752
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,en,1,0.5000,0.6667,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2857,0.5607
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3720,0.6370
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,en,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3099,0.6594
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,ar,1,0.3333,0.7500,0.2500,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2989,0.5010
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,en,1,0.3333,0.7500,0.2500,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3997,0.6204
HIGH_PRB_UTILIZATION,HIGH_PRB_URBAN_PEAK,ar,1,0.3333,0.7500,0.2500,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3386,0.5824
HIGH_PRB_UTILIZATION,HIGH_PRB_URBAN_PEAK,en,1,0.3333,0.7500,0.2500,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.4928,0.5863
HO_FAILURE_HOTSPOT,HO_FAIL_INDOOR_EDGE,ar,1,1.0000,0.6667,0.6667,1.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.2494,0.5450
HO_FAILURE_HOTSPOT,HO_FAIL_INDOOR_EDGE,en,1,1.0000,0.6667,0.6667,1.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.2892,0.4598
HQOS_LATENCY_VIOLATION,LATENCY_SLA_PEAK_LOAD,ar,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,1.0000,0.0000,0.5000,0.1590,0.4832
HQOS_LATENCY_VIOLATION,LATENCY_SLA_PEAK_LOAD,en,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,1.0000,0.0000,0.5000,0.2708,0.5690
LOAD_BALANCING_NEEDED,LB_RURAL_SINGLE_HOT,ar,1,0.5000,1.0000,0.5000,0.0000,1.0000,0.0000,1.0000,0.0000,0.5000,0.4296,0.5253
LOAD_BALANCING_NEEDED,LB_RURAL_SINGLE_HOT,en,1,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.4779,0.5444
OVERSHOOTING_CELL,OVERSHOOT_URBAN_FOOTPRINT,ar,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,0.0000,0.0000,0.2000,0.3997,0.5212
OVERSHOOTING_CELL,OVERSHOOT_URBAN_FOOTPRINT,en,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,0.0000,0.0000,0.2000,0.3697,0.6567
PCI_COLLISION,PCI_COLLISION_DENSE,ar,1,0.3333,0.7500,0.2500,0.0000,0.5000,0.0000,0.0000,0.0000,0.2000,0.2057,0.5301
PCI_COLLISION,PCI_COLLISION_DENSE,en,1,0.3333,0.7500,0.2500,0.0000,0.5000,0.0000,0.0000,0.0000,0.2000,0.1317,0.6180
SLICE_ADMISSION_FAILURE,SLICE_ADM_URLLC_POLICY,ar,1,0.3333,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3833,0.5462
SLICE_ADMISSION_FAILURE,SLICE_ADM_URLLC_POLICY,en,1,0.6667,1.0000,0.6667,1.0000,0.5000,0.0000,0.0000,0.0000,0.2000,0.4031,0.5902
THROUGHPUT_DROP_DL,DL_DROP_EVENT_TRANSIENT,ar,1,0.3333,0.7500,0.2500,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1347,0.6018
THROUGHPUT_DROP_DL,DL_DROP_EVENT_TRANSIENT,en,1,0.3333,0.7500,0.2500,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1738,0.6052
THROUGHPUT_DROP_DL,DL_DROP_INDOOR_CAP,ar,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,1.0000,0.0000,0.5000,0.0923,0.5234
THROUGHPUT_DROP_DL,DL_DROP_INDOOR_CAP,en,1,0.6667,1.0000,0.6667,0.5000,1.0000,0.0000,1.0000,0.0000,0.5000,0.0660,0.5349
