intent,blueprint_id,language,n,MSC,EAP,SAS,MSC_diag,MSC_corr,GPC0,GPC1,SD,BRS,IRA,RA
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,ar,1,0.3333,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1768,0.4534
BEAM_MISALIGNMENT,BEAM_MMWAVE_STREET_CANYON,en,1,0.3333,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3169,0.5943
BLER_ANOMALY,BLER_COVERAGE_EDGE,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1555,0.6431
BLER_ANOMALY,BLER_COVERAGE_EDGE,en,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1817,0.6388
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,ar,1,0.5000,1.0000,0.5000,1.0000,0.0000,0.0000,1.0000,0.0000,0.5000,0.3799,0.5476
CELL_OUTAGE_DETECTION,OUTAGE_GRADUAL_NO_ALARM,en,1,0.5000,1.0000,0.5000,1.0000,0.0000,0.0000,1.0000,0.0000,0.5000,0.3205,0.4985
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3655,0.2500
COVERAGE_HOLE,COV_HOLE_RURAL_SPARSITY,en,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2698,0.6153
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,ar,1,0.3333,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3722,0.4939
HIGH_PRB_UTILIZATION,HIGH_PRB_MIXED_WITH_PCI_HINT,en,1,0.3333,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.4608,0.6718
HIGH_PRB_UTILIZATION,HIGH_PRB_URBAN_PEAK,ar,1,0.3333,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3592,0.5131
HIGH_PRB_UTILIZATION,HIGH_PRB_URBAN_PEAK,en,1,0.3333,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.5270,0.6119
HO_FAILURE_HOTSPOT,HO_FAIL_INDOOR_EDGE,ar,1,0.5000,1.0000,0.5000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2255,0.5923
HO_FAILURE_HOTSPOT,HO_FAIL_INDOOR_EDGE,en,1,0.5000,1.0000,0.5000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2916,0.6235
HQOS_LATENCY_VIOLATION,LATENCY_SLA_PEAK_LOAD,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0969,0.5132
HQOS_LATENCY_VIOLATION,LATENCY_SLA_PEAK_LOAD,en,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2800,0.5704
LOAD_BALANCING_NEEDED,LB_RURAL_SINGLE_HOT,ar,1,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.4150,0.5227
LOAD_BALANCING_NEEDED,LB_RURAL_SINGLE_HOT,en,1,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.4206,0.6745
OVERSHOOTING_CELL,OVERSHOOT_URBAN_FOOTPRINT,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3693,0.4963
OVERSHOOTING_CELL,OVERSHOOT_URBAN_FOOTPRINT,en,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3515,0.6000
PCI_COLLISION,PCI_COLLISION_DENSE,ar,1,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2522,0.4830
PCI_COLLISION,PCI_COLLISION_DENSE,en,1,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1873,0.5382
SLICE_ADMISSION_FAILURE,SLICE_ADM_URLLC_POLICY,ar,1,0.3333,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3917,0.3967
SLICE_ADMISSION_FAILURE,SLICE_ADM_URLLC_POLICY,en,1,0.3333,1.0000,0.3333,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.4750,0.5132
THROUGHPUT_DROP_DL,DL_DROP_EVENT_TRANSIENT,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1712,0.4908
THROUGHPUT_DROP_DL,DL_DROP_EVENT_TRANSIENT,en,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2082,0.6847
THROUGHPUT_DROP_DL,DL_DROP_INDOOR_CAP,ar,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1106,0.5111
THROUGHPUT_DROP_DL,DL_DROP_INDOOR_CAP,en,1,0.3333,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1091,0.6248
